id;code;name;parent_id
49;01.16.03.04;СТОЛЫ ЖУРНАЛЬНЫЕ;16
50;01.13.14.06;РАСХОДНЫЕ МАТЕРИАЛЫ И КОМПЛЕКТУЮЩИЕ ДЛЯ КИНО- И ВИДЕОТЕХНИКИ, ФОТОГРАФИЧЕСКОГО ОБОРУДОВАНИЯ;13
51;01.09.08.01.99;ЗАПАСНЫЕ ЧАСТИ ДЛЯ АВТОТРАНСПОРТА ПРОЧИЕ;9
52;01.13.17.16.99;КОМПОНЕНТЫ ЭЛЕКТРОННЫЕ ПРОЧИЕ;13
53;01.11.02.02.07.01.01;КЛЮЧИ ГАЕЧНЫЕ РАЗВОДНЫЕ;11
54;01.11.01.01.03;КОРОБА ВЕНТИЛЯЦИОННЫЕ;11
55;01.11.01.07.01.20;ЧАСТИ ЗАПАСНЫЕ, ИНСТРУМЕНТЫ И ПРИНАДЛЕЖНОСТИ К НАСОСАМ;11
56;01.03.99;ПРОЧЕЕ ОБОРУДОВАНИЕ СИСТЕМ ОХРАНЫ, ОБЕСПЕЧЕНИЯ БЕЗОПАСНОСТИ;3
57;01.11.03.01.02.02.01.14;ПРОКАТ ПОЛОСОВОЙ (ПОЛОСА);11
58;01.16.07.01.03;ШКАФЫ ДЛЯ ОДЕЖДЫ МЕТАЛЛИЧЕСКИЕ;16
59;01.11.02.01.08.02;МАШИНЫ УГЛОШЛИФОВАЛЬНЫЕ (БОЛГАРКИ);11
60;01.13.01.02.01;НОУТБУК;13
61;01.11.06.04.02;КОМПЛЕКТУЮЩИЕ СОЕДИНИТЕЛЬНОЙ И ЗАПОРНО-РЕГУЛИРУЮЩЕЙ АРМАТУРЫ;11
62;03.07.99.14;ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И ТЕКУЩИЙ РЕМОНТ ОБОРУДОВАНИЯ ОЧИСТНЫХ СООРУЖЕНИЙ;60
63;01.10.05.03.01.05;СВЕТИЛЬНИКИ С ЛАМПАМИ НАКАЛИВАНИЯ ВНУТРЕННЕГО ОСВЕЩЕНИЯ;10
64;01.03.01.29.01;ИЗВЕЩАТЕЛИ ПОЖАРНЫЕ;3
65;01.13.09.01;КАНАЛЫ И ЛИНИИ СВЯЗИ;13
66;01.11.03.09.02.09;МАТЕРИАЛЫ ТЕПЛОИЗОЛЯЦИОННЫЕ ПОЛИМЕРНЫЕ;11
67;01.09.08.01.06;ЗАПАСНЫЕ ЧАСТИ ДЛЯ ГРУЗОВЫХ АВТОМОБИЛЕЙ;9
68;01.11.02.09.99;РАБОЧИЕ ОРГАНЫ СМЕННЫЕ ПРОЧИЕ;11
69;01.11.02.02.03.19;ЛОМЫ СТРОИТЕЛЬНЫЕ;11
70;01.11.02.02.07.01.08;КЛЮЧИ ТРУБНЫЕ РЫЧАЖНЫЕ;11
71;01.11.06.02.01.04;ТРУБЫ СТАЛЬНЫЕ ЭЛЕКТРОСВАРНЫЕ КРУГЛЫЕ;11
72;01.23.08;ТЕНТЫ;22
73;01.11.05.07.13;КОНСТРУКЦИИ ЖЕЛЕЗОБЕТОННЫЕ ДЛЯ КОЛОДЦЕВ;11
74;01.13.17.13;КОРПУСА СИСТЕМНЫХ БЛОКОВ;13
75;01.11.03.09.02.04;ВАТА МИНЕРАЛЬНАЯ;11
76;01.02.11.01.12.01.27;АНАЛИЗАТОР ФЛУОРИМЕТРИЧЕСКИЙ;2
77;01.11.03.02.01.01;ПИЛОМАТЕРИАЛЫ НЕПРОФИЛИРОВАННЫЕ ИЗ ХВОЙНЫХ ПОРОД;11
78;01.15.05.04.03.04;СРЕДСТВА КРАСЯЩИЕ КАНЦЕЛЯРСКИЕ;15
79;01.11.02.01.20;ВИБРАТОРЫ СТРОИТЕЛЬНЫЕ;11
80;01.02.11.01.03.19.01;ЛАМПА ЩЕЛЕВАЯ ОФТАЛЬМОЛОГИЧЕСКАЯ, СМОТРОВАЯ;2
81;01.02.11.01.13.02.10;АППАРАТЫ УДАРНО-ВОЛНОВОЙ ТЕРАПИИ;2
82;01.13.10.05;ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ ПРИКЛАДНОЕ ДЛЯ АВТОМАТИЗИРОВАННЫХ РАБОЧИХ МЕСТ (КРОМЕ ЗАКАЗНОГО);13
83;01.11.03.01.02.02.01.13;ПРОКАТ АРМАТУРНЫЙ;11
84;01.03.02.14;ТЕРМИНАЛЫ БИОМЕТРИЧЕСКИЕ СИСТЕМ КОНТРОЛЯ И УПРАВЛЕНИЯ ДОСТУПОМ;3
85;01.13.10.08;СИСТЕМЫ ПРОГРАММНО-АППАРАТНЫЕ, ПОСТАВЛЯЕМЫЕ В КОМПЛЕКСЕ;13
86;01.02.11.01.08.01.01.01;СИСТЕМА УЛЬТРАЗВУКОВАЯ ХИРУРГИЧЕСКАЯ ДЛЯ МЯГКИХ ТКАНЕЙ;2
87;01.02.11.04.17.05;СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ВИДЕОЭНДОСКОПОВ;2
88;01.13.09.08;КОНФЕРЕНЦ- И КОНГРЕСС-СИСТЕМЫ;13
89;03.22.02;КОНСАЛТИНГ ЮРИДИЧЕСКИЙ;73
90;01.06.02.01.07.99;КОМПЛЕКСЫ МНОГОФУНКЦИОНАЛЬНЫЕ УЧЕБНЫЕ ПРОЧИЕ;6
91;01.19.01.16.02.01;КУРТКИ ДЛЯ ВЗРОСЛЫХ ИЗ ТЕКСТИЛЬНЫХ МАТЕРИАЛОВ ЗИМНИЕ;19
92;01.20.03.04.05.02;САЛФЕТКИ, НАСАДКИ ДЛЯ УБОРКИ, ПОЛОТНА ТЕХНИЧЕСКИЕ, ВЕТОШЬ;20
93;01.16.07.01.06;ШКАФЫ ХОЗЯЙСТВЕННЫЕ МЕТАЛЛИЧЕСКИЕ;16
94;01.02.10.50.26.08;КРЕСЛА-КОЛЯСКИ;2
95;01.11.01.09;ОБОРУДОВАНИЕ БУРОВОЕ И ЗАПЧАСТИ К НЕМУ;11
96;01.02.11.01.05.02.03;СИСТЕМА ЭЛЕКТРОЭНЦЕФАЛОГРАФИЧЕСКОГО МОНИТОРИНГА, ПОРТАТИВНАЯ;2
97;01.09.08.03;ЗАПАСНЫЕ ЧАСТИ ДЛЯ СПЕЦТЕХНИКИ НА БАЗЕ ТРАНСПОРТНЫХ СРЕДСТВ;9
98;01.02.11.01.12.03.03;УСТРОЙСТВА ПЕРЕМЕШИВАЮЩИЕ;2
99;01.02.10.50.01.04;ПРОЧИЕ ИЗДЕЛИЯ ДЛЯ МАЛОМОБИЛЬНЫХ ПАЦИЕНТОВ;2
100;03.13.15;УСЛУГИ ПО ПРЕДОСТАВЛЕНИЮ ИНФРАСТРУКТУРЫ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ;65
101;01.02.11.04.13.02;СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ФИЗИОТЕРАПЕВТИЧЕСКОГО ОБОРУДОВАНИЯ;2
102;01.11.03.07.99;МАТЕРИАЛЫ УПЛОТНЯЮЩИЕ, ГЕРМЕТИКИ, КЛЕИ ПРОЧИЕ;11
103;01.02.10.43.01.67.01;"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ АВТОМАТИЧЕСКИХ СЕРИЙ, ПРОИЗВОДСТВА ""SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD.""";2
104;01.02.11.01.16.20.02;ОТОСКОПЫ ПРОЧИЕ;2
105;01.02.10.21.04.01;КАТЕТЕРЫ ДРЕНАЖНЫЕ В ИНДИВИДУАЛЬНОЙ УПАКОВКЕ;2
106;03.23.03;ОЦЕНКА ДВИЖИМОГО ИМУЩЕСТВА;74
107;01.16.20.01.01;СКАМЬИ;16
108;01.12.99;ПРОЧЕЕ ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ ЖКХ;12
109;01.11.06.02.01.06;ЗАГЛУШКИ СТАЛЬНЫЕ;11
110;01.25.01.05;АВТОМАТИЧЕСКИЕ МОЙКИ ДЛЯ ТРАНСПОРТНЫХ СРЕДСТВ, ОБОРУДОВАНИЕ И КОМПЛЕКТУЮЩИЕ К НИМ;24
111;01.11.03.01.04.02;АЛЮМИНИЙ И МЕТАЛЛОИЗДЕЛИЯ ИЗ АЛЮМИНИЯ;11
112;01.11.01.05.02.02;ЛИФТОВОЕ ОБОРУДОВАНИЕ;11
113;01.18.05.04;ЗЕМЛЯ, ТОРФ, СМЕСИ;18
114;01.11.06.99;МАТЕРИАЛЫ РАСХОДНЫЕ ТРУБОПРОВОДОВ;11
115;01.20.07.06;БУМАГА ПИЩЕВАЯ КУХОННАЯ;20
116;01.11.03.05.06.01;ЛАКИ ДЛЯ ДЕРЕВА;11
117;01.11.03.05.02;РАСТВОРИТЕЛИ (РАЗБАВИТЕЛИ);11
118;01.11.08.10;ГЛИНА ОГНЕУПОРНАЯ;11
119;01.01.08.01.02.02;ГОВЯДИНА ЗАМОРОЖЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ;1
120;01.19.09.01;СУМКИ ПОВСЕДНЕВНЫЕ;19
121;01.11.02.11;КОМПЛЕКТУЮЩИЕ (ЗАПАСНЫЕ ЧАСТИ) К ИНСТРУМЕНТУ СТРОИТЕЛЬНОМУ;11
122;01.15.02.02.01;ЕЖЕДНЕВНИКИ;15
123;01.13.07.05.02;БЛОКИ ПИТАНИЯ ВНЕШНИЕ;13
124;01.02.10.43.21.03;НЕОРГАНИЧЕСКИЕ СОЕДИНЕНИЯ ДЛЯ ЛАБОРАТОРНОЙ ДИАГНОСТИКИ;2
125;01.10.05.04;КОМПЛЕКТУЮЩИЕ ЧАСТИ ДЛЯ ОСВЕТИТЕЛЬНЫХ ПРИБОРОВ;10
126;01.09.09.02;РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ СПЕЦТЕХНИКИ НА БАЗЕ ТРАНСПОРТНЫХ СРЕДСТВ;9
127;01.11.07.08;СМЕСИ СУХИЕ СТРОИТЕЛЬНЫЕ;11
128;01.11.01.08.01.02;ТРАНСФОРМАТОРЫ;11
129;01.08.01.43.01;КОМПЛЕКТЫ ТУРИСТИЧЕСКИЕ БИВУАЧНЫЕ;8
130;01.19.04.06.03;ОБУВЬ СПЕЦИАЛЬНАЯ ДИЭЛЕКТРИЧЕСКАЯ;19
131;01.11.04.02.99;ФУРНИТУРА И КОМПЛЕКТУЮЩИЕ К ОКНАМ ПРОЧИЕ;11
132;01.03.03.01;КАМЕРЫ ВИДЕОНАБЛЮДЕНИЯ;3
133;01.11.03.05.08.01;ГРУНТОВКИ АНТИКОРРОЗИЙНЫЕ;11
134;01.11.03.04.03.02;ПЕСОК СТРОИТЕЛЬНЫЙ;11
135;01.05.99;ТОВАРЫ ПРИРОДООХРАННЫЕ ЭКОЛОГИЧЕСКИЕ ПРОЧИЕ;5
136;01.02.10.50.65;ОЧКИ ЗАЩИТНЫЕ МЕДИЦИНСКИЕ;2
137;01.09.09.01;РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АВТОТРАНСПОРТА;9
138;01.10.02.09;ПРИСАДКА-ОЧИСТИТЕЛЬ СИСТЕМ НЕПОСРЕДСТВЕННОГО ВПРЫСКА ТОПЛИВА БЕНЗИНОВЫХ И ДИЗЕЛЬНЫХ ДВИГАТЕЛЕЙ;10
139;03.13.11.03;УСЛУГИ ПО ПРЕДОСТАВЛЕНИЮ ДОСТУПА К ПРОГРАММНОМУ ПРОДУКТУ;65
140;01.02.11.04.13.01;СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ИНГАЛЯЦИОННОГО И ФИТОТЕРАПЕВТИЧЕСКОГО ОБОРУДОВАНИЯ;2
141;01.02.11.04.06.02;СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОБОРУДОВАНИЯ ВСПОМОГАТЕЛЬНОГО;2
142;01.13.08.01;КАБЕЛИ СЕТЕВЫЕ С МЕДНЫМИ ПРОВОДНИКАМИ;13
143;03.07.03.06;УСЛУГИ МОЙКИ АВТОТРАНСПОРТНЫХ СРЕДСТВ;60
144;01.11.03.05.20;ГРУНТ-ЭМАЛИ;11
145;01.11.02.02.99;ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ;11
146;01.09.08.04;ЗАПАСНЫЕ ЧАСТИ ДЛЯ ПРОЧИХ ТРАНСПОРТНЫХ СРЕДСТВ;9
147;01.11.01.08.02.99;АРМАТУРА ЭЛЕКТРОТЕХНИЧЕСКАЯ ПРОЧАЯ;11
148;01.02.11.03.05.01;КАТАЛКА БОЛЬНИЧНАЯ;2
149;01.11.01.02.05.01;ХЛАДОНЫ;11
150;01.13.06.99;ОБОРУДОВАНИЕ АКТИВНОЕ СЕТЕВОЕ ПРОЧЕЕ;13
151;01.13.07.05.01.02;ИСТОЧНИКИ БЕСПЕРЕБОЙНОГО ПИТАНИЯ;13
152;01.11.01.04.12;КАБИНЫ ДУШЕВЫЕ;11
153;01.19.04.05.02;ОБУВЬ ЛЕТНЯЯ С ВЕРХОМ ИЗ КОЖИ;19
154;01.02.11.01.13.02.18;АППАРАТЫ ФИЗИОТЕРАПЕВТИЧЕСКИЕ КОМБИНИРОВАННЫЕ;2
155;01.11.02.03.12;МУЛЬТИМЕТР;11
156;01.20.99.01.05.01;ВЕСЫ ЭЛЕКТРОННЫЕ БЫТОВЫЕ;20
157;01.11.03.05.09;ОЛИФЫ;11
158;01.11.01.07.04.01;КЛАПАНЫ ЭЛЕКТРОМАГНИТНЫЕ;11
159;01.02.11.01.03.10.01;АНАЛИЗАТОР ПОЛЯ ЗРЕНИЯ;2
160;01.16.07.01.01;ШКАФЫ АРХИВНЫЕ МЕТАЛЛИЧЕСКИЕ;16
161;01.16.07.02.01;ШКАФЫ ДЛЯ ДОКУМЕНТОВ ДЕРЕВЯННЫЕ;16
162;01.11.04.09.02.04;ЛОТКИ ДОРОЖНЫЕ ВОДООТВОДНЫЕ БЕТОННЫЕ;11
163;01.20.01.04.01;ХОЛОДИЛЬНИКИ БЫТОВЫЕ;20
164;01.15.01.09;ЭТИКЕТКИ САМОКЛЕЯЩИЕСЯ;15
165;01.20.05.03.06;ПОЛОТЕНЦА ТЕКСТИЛЬНЫЕ;20
166;01.20.13.01;КОВРИКИ РЕЗИНОВЫЕ ГРЯЗЕЗАЩИТНЫЕ;20
167;01.02.11.04.06.01.02;СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ОБОРУДОВАНИЯ ОБЩЕБОЛЬНИЧНОГО ПРОЧИЕ;2
168;01.11.04.03.02.05.04.02;ЛОТКИ КАБЕЛЬНЫЕ МЕТАЛЛИЧЕСКИЕ;11
169;01.15.05.02.01;СТЕПЛЕРЫ (СШИВАТЕЛИ);15
170;01.20.04.04.01;СРЕДСТВА ДЛЯ ДЕЗОДОРИРОВАНИЯ И АРОМАТИЗАЦИИ ВОЗДУХА В ПОМЕЩЕНИЯХ;20
171;01.13.13.05;ДИСКИ ОПТИЧЕСКИЕ;13
172;01.13.11.03.05.07;НАУШНИКИ, КОМПЛЕКТУЮЩИЕ И РАСХОДНЫЕ МАТЕРИАЛЫ К НИМ;13
173;01.02.10.54.25;ПРИНАДЛЕЖНОСТИ ДЛЯ ЭКГ;2
174;01.11.01.08.12.03;ВЫКЛЮЧАТЕЛИ АВТОМАТИЧЕСКИЕ (АВТОМАТЫ);11
175;01.11.01.07.02.05;ФИЛЬТРЫ ВОДООЧИСТИТЕЛЬНЫЕ;11
176;01.13.17.17;НАКОПИТЕЛИ ДАННЫХ ВНУТРЕННИЕ;13
177;01.13.11.04;ОБОРУДОВАНИЕ ДЛЯ РАБОТЫ СО ШТРИХ-КОДАМИ, РАДИОМЕТКАМИ И ЭТИКЕТКАМИ;13
178;01.11.01.07.01.16.01;КОМПРЕССОРЫ ПРОМЫШЛЕННЫЕ;11
179;01.19.10.06;ОДЕЖДА СПЕЦИАЛЬНАЯ ДЛЯ ЗАЩИТЫ ОТ ПОНИЖЕННЫХ ТЕМПЕРАТУР;19
180;01.02.10.12.04.05;ЛЕЙКОПЛАСТЫРЬ ГИПОАЛЛЕРГЕННЫЙ;2
181;01.02.10.54.13;ЭЛЕКТРОДЫ ДЛЯ ЭЛЕКТРОКАРДИОГРАММЫ (ЭКГ) И ПРИНАДЛЕЖНОСТИ К НИМ;2
182;01.02.10.06.12.10;ЗАЖИМЫ КРОВООСТАНАВЛИВАЮЩИЕ;2
183;01.11.02.09.30;НАСАДКИ ДЛЯ УГЛОШЛИФОВАЛЬНЫХ МАШИН;11
184;01.11.01.07.17;СИСТЕМЫ АВТОМАТИЗАЦИИ ВОДООТЛИВНОЙ УСТАНОВКИ;11
185;01.16.03.03;СТОЛЫ КОМПЬЮТЕРНЫЕ;16
186;01.10.03.02.01;ЭЛЕКТРОГЕНЕРАТОРЫ;10
187;01.02.10.25.08.03;РАСХОДНЫЕ МАТЕРИАЛЫ К АППАРАТАМ ДЛЯ ИММУНОГИСТОХИМИЧЕСКОЙ ОКРАСКИ;2
188;01.02.11.01.08.06.01;СВЕТИЛЬНИК ОПЕРАЦИОННЫЙ;2
189;01.13.13.01.02;РАСХОДНЫЕ МАТЕРИАЛЫ И КОМПЛЕКТУЮЩИЕ ДЛЯ СТРУЙНЫХ ПРИНТЕРОВ И МФУ;13
190;01.20.07.11.04.01;КОРОБКИ (КОРОБА) ИЗ ГОФРИРОВАННОГО МАТЕРИАЛА;20
191;01.03.01.28.01;ИЗВЕЩАТЕЛИ ОХРАННЫЕ;3
192;01.09.09.01.99;РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АВТОТРАНСПОРТА ПРОЧИЕ;9
193;01.11.01.06.07;МАНОМЕТРЫ;11
194;01.20.03.04.01.02;ИНВЕНТАРЬ УБОРОЧНЫЙ ПЛАСТМАССОВЫЙ;20
195;01.19.01.19.01;СОРОЧКИ НОЧНЫЕ ДЛЯ ВЗРОСЛЫХ;19
196;01.11.01.03.14;ПРИБОРЫ ОТОПИТЕЛЬНЫЕ ПРОМЫШЛЕННЫЕ;11
197;01.11.02.01.03;ШУРУПОВЕРТЫ ЭЛЕКТРИЧЕСКИЕ;11
198;01.02.10.34.40;КАНЮЛИ ДЛЯ ТРАВМАТОЛОГИИ И ОРТОПЕДИИ;2
199;01.11.01.04.05.01;СМЕСИТЕЛИ ВОДОРАЗБОРНЫЕ;11
200;01.11.05.04.99;ПАНЕЛИ СТЕНОВЫЕ ПРОЧИЕ;11
201;01.02.11.04.12.01.10;СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ АНАЛИЗАТОРОВ МОЧИ;2
202;01.13.17.01;ПРОЦЕССОРЫ;13
203;01.02.11.01.06.04.05;СВЕТИЛЬНИКИ ДЛЯ ПРОВЕДЕНИЯ ОСМОТРА/ТЕРАПЕВТИЧЕСКИХ ПРОЦЕДУР;2
204;03.07.06;ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И ТЕКУЩИЙ РЕМОНТ ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ;60
205;01.10.04.02;ЭЛЕМЕНТЫ ПИТАНИЯ (БАТАРЕЙКИ);10
206;01.11.01.04.09;ПОДДОНЫ ДЛЯ ДУШЕВЫХ КОМНАТ;11
207;01.19.10.17.01;ПЕРЧАТКИ ИЗ ПОЛИМЕРНЫХ МАТЕРИАЛОВ ДЛЯ ЗАЩИТЫ ОТ ВНЕШНИХ ВОЗДЕЙСТВИЙ;19
208;01.13.09.04.03.05;РАДИОСТАНЦИИ ЦИФРОВЫЕ;13
209;01.13.01.01.06;СИСТЕМНЫЙ БЛОК;13
210;01.02.10.43.126.01;TRICHINELLA SPIRALIS АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН G (IGG) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА);2
211;01.02.10.43.126.02;TRICHINELLA SPIRALIS АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН M (IGM) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА);2
212;01.06.03.99;ПОСОБИЯ УЧЕБНЫЕ НАГЛЯДНЫЕ, ЗА ИСКЛЮЧЕНИЕМ ПЕЧАТНЫХ ПРОЧИЕ;6
213;03.08.03.01.01.02;"УСЛУГИ ПО ОБРАЩЕНИЮ С МЕДИЦИНСКИМИ ОТХОДАМИ КЛАССОВ ""Б"" И ""В""";61
